ticker,avg_purchase_price,shares,purchase_date,currency,security_type
AAPL,172.35,12,2021-03-14,USD,stock
MSFT,338.20,8,2022-07-09,USD,stock
NVDA,865.10,4,2023-02-21,USD,stock
AMZN,122.55,15,2020-10-05,USD,stock
GOOGL,140.90,20,2021-06-17,USD,stock
TSLA,214.30,6,2021-11-02,USD,stock
META,290.45,7,2022-01-28,USD,stock
NFLX,512.75,3,2023-05-19,USD,stock
ORCL,86.40,25,2019-08-12,USD,stock
IBM,148.05,10,2020-12-03,USD,stock
PLTR,20.15,100,2021-09-08,USD,stock
AMD,102.80,18,2021-04-30,USD,stock
INTC,35.60,60,2022-03-26,USD,stock
SBUX,72.25,22,2020-09-21,USD,stock
KO,54.10,40,2018-05-16,USD,stock
PEP,176.90,12,2019-04-11,USD,stock
JNJ,159.75,9,2021-01-20,USD,stock
V,241.35,6,2022-06-01,USD,stock
MA,365.10,5,2022-10-14,USD,stock
BAC,36.80,120,2019-12-18,USD,stock
JPM,138.25,14,2020-08-07,USD,stock
WFC,43.55,90,2021-07-23,USD,stock
C,52.15,75,2019-03-30,USD,stock
DIS,88.40,28,2020-02-17,USD,stock
LYFT,19.90,80,2021-12-05,USD,stock
UBER,45.60,55,2022-08-30,USD,stock
SPOT,140.25,10,2021-05-14,USD,stock
SNAP,12.75,200,2021-03-02,USD,stock
SHOP,1120.65,2,2023-01-10,USD,stock
CRM,238.90,9,2020-06-25,USD,stock
ADBE,472.40,4,2022-02-18,USD,stock
PYPL,65.30,35,2020-11-30,USD,stock
NKE,98.15,26,2021-08-09,USD,stock
CAT,210.10,7,2022-04-06,USD,stock
GE,99.45,18,2020-03-12,USD,stock
BA,185.60,6,2021-10-27,USD,stock
MS,101.70,20,2019-09-29,USD,stock
AXP,186.25,11,2020-04-22,USD,stock
PLD,95.80,30,2021-02-08,USD,stock
AAPL,172.35,12,2021-03-14,USD,stock
AAPL,176.80,20,2022-01-18,USD,stock
AAPL,181.25,15,2023-06-07,USD,stock
AAPL,189.10,10,2024-10-02,USD,stock
MSFT,338.20,8,2022-07-09,USD,stock
MSFT,348.60,12,2023-03-21,USD,stock
MSFT,365.15,6,2024-05-13,USD,stock
MSFT,372.90,9,2025-08-26,USD,stock
NVDA,865.10,4,2023-02-21,USD,stock
NVDA,910.40,6,2023-11-09,USD,stock
NVDA,790.25,8,2024-07-30,USD,stock
NVDA,845.60,5,2025-02-14,USD,stock
TSLA,214.30,6,2021-11-02,USD,stock
TSLA,226.45,10,2022-12-15,USD,stock
TSLA,238.70,8,2023-09-29,USD,stock
TSLA,205.10,14,2024-02-10,USD,stock
AMZN,122.55,15,2020-10-05,USD,stock
AMZN,129.80,10,2021-08-16,USD,stock
AMZN,138.25,12,2022-04-18,USD,stock
AMZN,150.60,9,2023-12-07,USD,stock
META,290.45,7,2022-01-28,USD,stock
META,305.10,11,2022-09-22,USD,stock
META,320.75,8,2023-07-11,USD,stock
META,345.20,6,2024-03-05,USD,stock
GOOGL,140.90,20,2021-06-17,USD,stock
GOOGL,148.35,15,2022-05-25,USD,stock
GOOGL,155.60,10,2023-10-03,USD,stock
GOOGL,162.80,12,2025-01-20,USD,stock
