ticker,avg_purchase_price,shares,purchase_date,currency,security_type
AAPL,172.35,12,2021-03-14,USD,stock
AAPL,176.80,20,2022-01-18,USD,stock
AAPL,181.25,15,2023-06-07,USD,stock
AAPL,189.10,10,2024-10-02,USD,stock
MSFT,338.20,8,2022-07-09,USD,stock
MSFT,348.60,12,2023-03-21,USD,stock
MSFT,365.15,6,2024-05-13,USD,stock
MSFT,372.90,9,2025-08-26,USD,stock
TSLA,214.30,6,2021-11-02,USD,stock
TSLA,226.45,10,2022-12-15,USD,stock
TSLA,238.70,8,2023-09-29,USD,stock
TSLA,205.10,14,2024-02-10,USD,stock
TSLA,220.65,7,2025-04-22,USD,stock
VOO,312.45,8,2022-01-05,USD,ETF
VOO,326.80,10,2023-08-18,USD,ETF
GLD,185.30,15,2021-04-08,USD,ETF
GLD,192.60,20,2022-11-30,USD,ETF
